"year","sector","sales","tax"
2000,"off-trade",9567.83120015486,2178.88107907371
2000,"on-trade",19688.6908885549,4485.11892092629
2001,"off-trade",10053.1760296751,2273.32598195942
2001,"on-trade",20700.562168605,4681.67401804058
2002,"off-trade",10439.8732808516,2411.23347172256
2002,"on-trade",21192.9108936844,4885.76652827744
2003,"off-trade",10944.5272707745,2533.87009370726
2003,"on-trade",21775.5074157386,5031.12990629274
2004,"off-trade",11302.5951693992,2652.86392780931
2004,"on-trade",22286.8371517829,5223.13607219069
2005,"off-trade",11924.4661037205,2703.61302573285
2005,"on-trade",22760.1074903512,5157.38697426715
2006,"off-trade",12196.1842519436,2714.24280441991
2006,"on-trade",23372.9406927123,5198.75719558008
2007,"off-trade",12815.6702332068,2968.57839722336
2007,"on-trade",23033.5334343478,5333.42160277664
2008,"off-trade",13333.4807066924,3159.39807819902
2008,"on-trade",22410.5116980311,5310.60192180098
2009,"off-trade",14192.7884835677,3518.71889493271
2009,"on-trade",22148.9427350803,5493.28110506729
2010,"off-trade",14859.0042204433,3767.62180966221
2010,"on-trade",22195.5449374962,5629.47819033779
2011,"off-trade",15800.4758063583,4071.4055643726
2011,"on-trade",23143.6349583311,5964.8944356274
2012,"off-trade",16256.6657002115,4140.80660501415
2012,"on-trade",23866.3882413349,6078.59339498585
2013,"off-trade",16987.4804360041,4358.38757105248
2013,"on-trade",23775.2305083092,6096.87828352752
2014,"off-trade",17460.6668632612,4393.17273639042
2014,"on-trade",24228.2156659198,6095.83367569958
2015,"off-trade",17794.5452538053,4445.06823560716
2015,"on-trade",24975.6372459556,6241.08730622707
2016,"off-trade",18089.4209297363,4637.46118974866
2016,"on-trade",25417.9839412073,6517.66879092134
2017,"off-trade",19267.5786273202,4886.03916087948
2017,"on-trade",25832.3175477551,6554.4449332443
2018,"off-trade",20471.033303252,5264.96950803402
2018,"on-trade",26597.1981432001,6845.70276828598
2019,"off-trade",20750.7656322874,5336.77129963029
2019,"on-trade",27294.6168623514,7024.58786246415
2020,"off-trade",25239.1462632735,6492.55741103079
2020,"on-trade",11271.229487643,2903.12086318415
2021,"off-trade",24726.0858504556,6360.56106125201
2021,"on-trade",17322.8087189821,4462.9194472491
