"","year","illicit_cigs_billion","illicit_cigs_pk20","illicit_hrt_kg_mn","illicit_hrt_100g"
"1","2000",15,7.5e+08,5.4,5.4e+07
"2","2001",14,7e+08,5.7,5.7e+07
"3","2002",11.5,5.75e+08,5.7,5.7e+07
"4","2003",13,6.5e+08,5.2,5.2e+07
"5","2004",10,5e+08,6.5,6.5e+07
"6","2005",10,5e+08,6.1,6.1e+07
"7","2006",9.5,4.75e+08,5.7,5.7e+07
"8","2007",7.5,3.75e+08,4.7,4.7e+07
"9","2008",7.5,3.75e+08,5.5,5.5e+07
"10","2009",7,3.5e+08,4.6,4.6e+07
"11","2010",5,2.5e+08,4.1,4.1e+07
"12","2011",3.5,1.75e+08,4.5,4.5e+07
"13","2012",4.5,2.25e+08,4.1,4.1e+07
"14","2013",4.5,2.25e+08,4.5,4.5e+07
"15","2014",2.5,1.25e+08,3.5,3.5e+07
"16","2015",4.5,2.25e+08,3,3e+07
"17","2016",5,2.5e+08,2.5,2.5e+07
"18","2017",2.5,1.25e+08,3.2,3.2e+07
"19","2018",3.5,1.75e+08,2.1,2.1e+07
"20","2019",2,1e+08,3.9,3.9e+07
"21","2020",2,1e+08,4.4,4.4e+07
"22","2021",2,1e+08,4,4e+07
"23","2022",1.5,7.5e+07,3.7,3.7e+07
